,Username,Link,Text,Human,Chat GPT (AI),Date
,wawanindraw,https://www.tiktok.com/@wawanindraw,dominant mantap wangi nya buat makan malam,Positif,Positif,07/02/2024
,bra_vo100,https://www.tiktok.com/@bra_vo100,terbaik pokok nya aku udah beli tiga kali sukses selalu,Positif,Positif,07/02/2024
,rrraraaaw,https://www.tiktok.com/@rrraraaaw,tolong mau pro player yang buat cewe wangi nya enak banget,Positif,Positif,07/02/2024
,bagaskoropart1,https://www.tiktok.com/@bagaskoropart1,ketagihan banget sama aroma nya,Positif,Positif,07/02/2024
,reski1925,https://www.tiktok.com/@reski1925,Baru pertama pake parfum wangi kaya gini gak nyengat tapi tahan lama walau sekali semprot,Positif,Positif,07/02/2024
,ariono788,https://www.tiktok.com/@ariono788,suka banget sama parfum parfum scentplus di kamar udah ada HRNY Side Effect dan Mr Crush,Positif,Positif,06/02/2024
,baruknetas.05,https://www.tiktok.com/@baruknetas.05,"enak banget sumpah dan ini parfum buat cewek juga bisa, karena ada aroma bedak nya
",Positif,Positif,06/02/2024
,lapak_umi_diny,https://www.tiktok.com/@lapak_umi_diny,"
gak enak banget parfum nya aku pernah nyium punya murid aku",Negatif,Negatif,06/02/2024
,ecocomeo,https://www.tiktok.com/@ecocomeo,pengemasan nya gede banget parfum nya dikit,Negatif,Negatif,06/02/2024
,mistake_2023,https://www.tiktok.com/@mistake_2023,"tiga puluh lima mili wangi nya kok beda,wangi nya gak enak banget",Negatif,Negatif,06/02/2024
,andreariyanto_,https://www.tiktok.com/@andreariyanto_,nyoba yang lima puluh mili wangi nya enak banget,Positif,Positif,06/02/2024
,azun06,https://www.tiktok.com/@azun06,saya udah beli yang ukuran tiga puluh lima Mili wanggi banget,Positif,Positif,06/02/2024
,m_rivaldi97,https://www.tiktok.com/@m_rivaldi97,dominant emang ga ada lawan wangi banget,Positif,Positif,05/02/2024
,delito.tgr,https://www.tiktok.com/@delito.tgr,ini bener bener enak sih wangi nya dua sampai tiga hari di baju baru hilang wangi nya,Positif,Positif,05/02/2024
,hakiim.al,https://www.tiktok.com/@hakiim.al,gak lagi deh wangi nya nyengat bikin pusing beli sembilan puluh ribu ,Negatif,Negatif,05/02/2024
,memey.production,https://www.tiktok.com/@memey.production,"beli yang pro player, wangi nya cuman sebentar banget. Sepuluh menit udah ilang padahal asli",Negatif,Negatif,05/02/2024
,kikoenktauu_,https://www.tiktok.com/@kikoenktauu_,bener mbak emang nomor dua itu paling terbaik,Positif,Positif,05/02/2024
,masdidik999,https://www.tiktok.com/@masdidik999,outdoor paling cocok mr.crush black. kuat aroma nya seger banget aku suka sama aroma nya,Positif,Positif,05/02/2024
,pen1kmat_kop1,https://www.tiktok.com/@pen1kmat_kop1,saking enak nya parfum aku di ambil istri buat kerja,Positif,Positif,05/02/2024
,yudhiguess,https://www.tiktok.com/@yudhiguess,pas di coba berasa alkohol semua parum nya dikit banget,Negatif,Negatif,05/02/2024
,qailakhalifah,https://www.tiktok.com/@qailakhalifah,aku mau order dong kaya nya wangi banget ,Positif,Positif,05/02/2024
,user57111540,https://www.tiktok.com/@user57111540,mantap banget harum nya,Positif,Positif,05/02/2024
,maulana.anggakusu,https://www.tiktok.com/@maulana.anggakusu,Sudah punya tiga emang enak enak semua wangi parfum nya,Positif,Positif,05/02/2024
,erryyunus,https://www.tiktok.com/@erryyunus,tidak enak banget bau nya bikin mau muntah,Negatif,Negatif,05/02/2024
,alluka659,https://www.tiktok.com/@alluka659,"wangi nya enak banget sumpah, pasangan aku aja sampai gak mau jauh",Positif,Positif,05/02/2024
,gusss_bib,https://www.tiktok.com/@gusss_bib,ada alkohol nya ga sih ka,Netral,Netral,05/02/2024
,ramadhan_1099,https://www.tiktok.com/@ramadhan_1099,parah semprotan rembes terus,Negatif,Negatif,05/02/2024
,bbg_tabaka98,https://www.tiktok.com/@bbg_tabaka98,pernah beli dapat palsu,Negatif,Negatif,05/02/2024
,z1putihplatdp,https://www.tiktok.com/@z1putihplatdp,Biasa aja bau nya kaya parfum pasar malem,Negatif,Netral,05/02/2024
,.rudy13,https://www.tiktok.com/@.rudy13,"hampir semua udah aku coba, tapi dominant tetep pilihan aku",Positif,Positif,04/02/2024
,awalsynergyind,https://www.tiktok.com/@awalsynergyind,sudah bpom gak kak?,Netral,Netral,04/02/2024
,ahmadsaifulanwa86,https://www.tiktok.com/@ahmadsaifulanwa86,mr crush black emang mantap wangi banget,Positif,Positif,04/02/2024
,arsyaaa_a,https://www.tiktok.com/@arsyaaa_a,parfum dibawah seratus ribu Jangan berharap lebih pasti tidak enak dan tidak wangi,Negatif,Negatif,04/02/2024
,poshboy705,https://www.tiktok.com/@poshboy705,dominant parfum terbaik aku,Positif,Positif,04/02/2024
,varclak41,https://www.tiktok.com/@varclak41,wangi parfum nya enak banget kak,Positif,Positif,04/02/2024
,arkamaviltarance,https://www.tiktok.com/@arkamaviltarance,mr crush black favorit aku,Positif,Positif,03/02/2024
,black.coffee76,https://www.tiktok.com/@black.coffee76,mr crush black parfum terbaik,Positif,Positif,03/02/2024
,joisrpabaru,https://www.tiktok.com/@joisrpabaru,sependapat sih... Kalem dan enak banget harum nya,Positif,Positif,03/02/2024
,talk_less_do_more30,https://www.tiktok.com/@talk_less_do_more30,harga bibit nya berapa ka,Netral,Netral,03/02/2024
,abraham3322,https://www.tiktok.com/@abraham3322,aku udah beli dua. tidak enak bau nya kayak bau bapak bapak pergi jumatan,Negatif,Negatif,03/02/2024
,iqball.14,https://www.tiktok.com/@iqball.14,"jujur nih ya saya yang udah beli kecewa,,, wangi nya gak tahan lama,, review nya tidak jujur",Negatif,Negatif,03/02/2024
,_flyfootball,https://www.tiktok.com/@_flyfootball,tau sih yang asli tapi tetep aja wangi nya tidak tahan lama,Negatif,Negatif,03/02/2024
,sayya_sendiri1,https://www.tiktok.com/@sayya_sendiri1,"mantap scentplus harga nya jauh lebih murah, wangi nya padahal sama gak ada beda sama sekali",Positif,Positif,03/02/2024
,zen.marvel,https://www.tiktok.com/@zen.marvel,berapa harga nya kalo sepaket ka,Netral,Netral,03/02/2024
,osaka.tokyo8,https://www.tiktok.com/@osaka.tokyo8,botol nya gampang baret ketahuan kualitas nya ga di jaga,Negatif,Negatif,03/02/2024
,justgarr13,https://www.tiktok.com/@justgarr13,dominant terbaik emang,Positif,Positif,03/02/2024
,fazri.backspin,https://www.tiktok.com/@fazri.backspin,dominant dong parfum terenak yang pernah saya pakai,Positif,Positif,03/02/2024
,resellermasterr,https://www.tiktok.com/@resellermasterr,pengiriman ke bali berapa hari kak,Netral,Netral,03/02/2024
,ikilo.abid,https://www.tiktok.com/@ikilo.abid,aku udah beli dominant cobain wangi nya enak banget seger banget,Positif,Positif,03/02/2024
,henri.henri03,https://www.tiktok.com/@henri.henri03,cek harga yang sepuluh mili,Netral,Netral,03/02/2024
,itsme.aris_,https://www.tiktok.com/@itsme.aris_,aku sampai ketagihan sama wangi nya sumpah,Positif,Positif,03/02/2024
,dafyfabregas,https://www.tiktok.com/@dafyfabregas,bagusan di toko oren di sini gak bisa di cod ,Negatif,Negatif,03/02/2024
,f.boy.eza,https://www.tiktok.com/@f.boy.eza,saya agak kecewa wangi sih wangi tapi gak tahan lama harus di semprot terus,Negatif,Negatif,03/02/2024
,xzero_two,https://www.tiktok.com/@xzero_two,terbaik kalo di baju bisa dua sampai tiga hari baru hilang wangi nya,Positif,Positif,02/02/2024
,hallo_david_disini,https://www.tiktok.com/@hallo_david_disini,tapi menurut aku tetap nomor satu Dominant wangi nya tidak ada lawan,Positif,Positif,02/02/2024
,gunari_suria,https://www.tiktok.com/@gunari_suria,pengemasan nya bagus dan aman banget,Positif,Positif,02/02/2024
,kang.lawak8,https://www.tiktok.com/@kang.lawak8,Cirebon di mana kak?,Netral,Netral,02/02/2024
,dody_cs,https://www.tiktok.com/@dody_cs,hrny premium wangi nya lebih seger dan tahan lama beda dari parfum lokal yang lain terbaik pokok nya,Positif,Positif,02/02/2024
,mas_azizil,https://www.tiktok.com/@mas_azizil,Parah saya beli yang ke dua kali nya tidak ada box nya yang itu cuma box kardus biasa aja,Negatif,Negatif,02/02/2024
,cak_cep,https://www.tiktok.com/@cak_cep,beli dominant wangi cuma sekitar dua jam,Negatif,Negatif,02/02/2024
,gagahamandasaputraa,https://www.tiktok.com/@gagahamandasaputraa,mantap hnry lebih dari dua belas jam wangi banget banget,Positif,Positif,02/02/2024
,firmanherdiansyah49,https://www.tiktok.com/@firmanherdiansyah49,kedua kali nya beli dominant tetap tidak pernah kecewa sama wangi nya,Positif,Positif,02/02/2024
,cakra.clube,https://www.tiktok.com/@cakra.clube,kemarin saya beli yang di kirim palsu,Negatif,Negatif,02/02/2024
,devan_syahreza_98,https://www.tiktok.com/@devan_syahreza_98,"udah beli lagi nunggu dominant datang. udah tidak sabar nyium wangi nya gimana sih, apakah seheboh iklan nya",Positif,Positif,02/02/2024
,harisprakoso,https://www.tiktok.com/@harisprakoso,parfum terwangi buat memikat ciwi ciwi ketika antri di indomaret,Positif,Positif,01/02/2024
,hollowbones__,https://www.tiktok.com/@hollowbones__,saya udah cukup pakai dominant aja tidak mau ganti parfum yang lain,Positif,Positif,01/02/2024
,dansnugraha,https://www.tiktok.com/@dansnugraha,cirebon nya dimana ka? soalnya aku dari cirebon juga,Netral,Netral,01/02/2024
,rha_rhara281,https://www.tiktok.com/@rha_rhara281,"pengen beli, tapi gak jadi karena tidak ada keterangan nya wangi apa aja",Negatif,Negatif,01/02/2024
,annismldn_,https://www.tiktok.com/@annismldn_,"Dominant benar benar bikin candu, suami aku pake itu dan asli aku pegen nya nempel dekat dekat dia terus",Positif,Positif,01/02/2024
,indraputraa5,https://www.tiktok.com/@indraputraa5,"Asli seenak itu wangi nya aku suka banget
",Positif,Positif,01/02/2024
,ridho_saptraa,https://www.tiktok.com/@ridho_saptraa,buat aktivitas di outdor tahan berapa lama ka,Netral,Netral,01/02/2024
,lanangansalah,https://www.tiktok.com/@lanangansalah,rekomendasi varian yang cocok buat motoran sampai di cariin wangi nya sama orang dong ka,Netral,Netral,01/02/2024
,ode_sutiyani,https://www.tiktok.com/@ode_sutiyani,kak saranin parfum untuk kegiatan kerja di indoor dan outdoor dong kak?,Netral,Netral,01/02/2024
,ahmadrifai3398,https://www.tiktok.com/@ahmadrifai3398,nama ibu scentplus ini siapa pengen kenalan deh cantik banget,Positif,Positif,31/01/2024
,ferrari.02000,https://www.tiktok.com/@ferrari.02000,"emang enak sih mr crush black.buat kerja panas panasan ,setiap kena angin nambah wangi",Positif,Positif,31/01/2024
,gweh_nedzz,https://www.tiktok.com/@gweh_nedzz,buat cewek yang manis apa ka,Netral,Netral,31/01/2024
,muhammadfaisa1l,https://www.tiktok.com/@muhammadfaisa1l,dominant cocok buat sekolah ga ka,Netral,Netral,31/01/2024
,jnkroar,https://www.tiktok.com/@jnkroar,"tidak tau, menurut saya pribadi saya udah beli tiga kali parfum dari scentplus tidak ada yang benar benar tahan lama",Negatif,Negatif,31/01/2024
,danyramdani168l,https://www.tiktok.com/@danyramdani168l,tidak tahan lama saya beliin buat istri tidak lama dan tidak ke cium maaf yah saya kecewa,Negatif,Negatif,31/01/2024
,ibad_25_,https://www.tiktok.com/@ibad_25_,Yang palsu harga nya murah banget kak,Negatif,Negatif,31/01/2024
,randy_dindong,https://www.tiktok.com/@randy_dindong,Parah baru saya semprot kena angin dikit langsung hilang,Negatif,Negatif,31/01/2024
,piqnes,https://www.tiktok.com/@piqnes,bau nya bikin kelepek kelepek wangi banget,Positif,Positif,31/01/2024
,mfurqanakhyar,https://www.tiktok.com/@mfurqanakhyar,"Dominant enak tapi aku lebih suka wangi side effect. Tapi tidak jadi masalah, yang penting beli yang asli di jamin wangi dan tahan lama",Positif,Positif,31/01/2024
,riski.lah2,https://www.tiktok.com/@riski.lah2,saya udah beli nih.mbak yang seratus mili penasaran sama iklan nya jadi pengen tau aroma nya gimana,Positif,Positif,31/01/2024
,helmiikw,https://www.tiktok.com/@helmiikw,parfum scentplus dari tahun berapa ka,Netral,Netral,31/01/2024
,bang.pokel,https://www.tiktok.com/@bang.pokel,keren kak. puas banget sama wangi nya,Positif,Positif,31/01/2024
,hellojuly7020,https://www.tiktok.com/@hellojuly7020,"gede botol doang itu mah ,kaca doang yang tebel isi nya mah dikit",Negatif,Negatif,31/01/2024
,riski.gans628,https://www.tiktok.com/@riski.gans628,aku beli di shope malah dapat yang palsu,Negatif,Negatif,31/01/2024
,immortal_2908,https://www.tiktok.com/@immortal_2908,"benar benar kasta tertinggi sih si dominant ini, udah gonta ganti ke hrny prem, side effect, crush black tapi tetap yang terbaik dan favorit  dominant ini",Positif,Positif,31/01/2024
,anungunrama05,https://www.tiktok.com/@anungunrama05,Enak banget wangi nya kayak habis mandi dan seger bau sabun gitu,Positif,Positif,30/01/2024
,heyyhooo_0,https://www.tiktok.com/@heyyhooo_0,beda nya mr.crush hitam sama yang putih apa kak?,Netral,Netral,30/01/2024
,_iky013,https://www.tiktok.com/@_iky013,Kalau pagi suka banget pakai yang h12ny premium karena bau nya kayak abis mandi banget. Kalau malem suka pake yang Side effect. Seger manis enak buat acara malem,Positif,Positif,30/01/2024
,one_gns,https://www.tiktok.com/@one_gns,cantik banget model nya,Positif,Positif,30/01/2024
,masdjoe86,https://www.tiktok.com/@masdjoe86,HRNY PREMIUM emang terbaik wangi nya tidak hilang hilangan tahan lama banget... saya udah buktiin sendiri. pengen nyoba yang DOMINANT..,Positif,Positif,30/01/2024
,perdimaster,https://www.tiktok.com/@perdimaster,botol nya kaca doang tapi gampang pecah jelek banget,Negatif,Negatif,30/01/2024
,perdimaster,https://www.tiktok.com/@perdimaster,mau coba dari dulu tapi ongkir nya mahal banget,Negatif,Negatif,30/01/2024
,ajiev12345,https://www.tiktok.com/@ajiev12345,yang ukuran kecil asli juga gak ka?,Netral,Netral,30/01/2024
,hadijah404,https://www.tiktok.com/@hadijah404,parfum scentplus bisa buat cewek ga ka,Netral,Netral,30/01/2024
,cuulllek,https://www.tiktok.com/@cuulllek,gak suka semua bau nya ga enak banget,Negatif,Negatif,30/01/2024
,yusufbukanucuf,https://www.tiktok.com/@yusufbukanucuf,Wangi nya gak enak terlalu kuat,Negatif,Negatif,30/01/2024
,harapanbaru01,https://www.tiktok.com/@harapanbaru01,bau nya enak ,Positif,Positif,30/01/2024
,acbarachmad,https://www.tiktok.com/@acbarachmad,idola banget parfum satu ini,Positif,Positif,30/01/2024
,xyhyxh,https://www.tiktok.com/@xyhyxh,mau nyoba dulu yang kecil nya ,Netral,Netral,30/01/2024
,iwaniskandar316,https://www.tiktok.com/@iwaniskandar316,kena baju jadi kuning,Negatif,Netral,30/01/2024
,mas_bro.5758,https://www.tiktok.com/@mas_bro.5758,aku beli karena yang iklanin cantik banget,Positif,Positif,30/01/2024
,anak_emak_e,https://www.tiktok.com/@anak_emak_e,yang asli enak banget dan hanya ada di official scentplus,Positif,Positif,30/01/2024
,_moxzyyy,https://www.tiktok.com/@_moxzyyy,beli dominant yang sepuluh milih dimana ka,Netral,Netral,30/01/2024
,user6173162327009,https://www.tiktok.com/@user6173162327009,mau nyoba kata temen wangi nya enak banget,Positif,Positif,30/01/2024
,sarah.nugroho,https://www.tiktok.com/@sarah.nugroho,"Suami pakai side effect sebel banget kalau di semprot di kamar , wangi nya bikin pusing sampai batuk batuk mana bau nya ga ilang",Negatif,Negatif,30/01/2024
,triswahyudi19,https://www.tiktok.com/@triswahyudi19,awal nya ragu... beli yang lima puluh mili..... ternyata emang seger banget sih wangi nya.... barusan beli yang seratus mili,Positif,Positif,29/01/2024
,anak_sulungniboss,https://www.tiktok.com/@anak_sulungniboss,"emang paling terbaik,aku aja udah habis dua botol,wangi nya seger banget seger",Positif,Positif,29/01/2024
,dealwithdel,https://www.tiktok.com/@dealwithdel,"tim mr crush black, varian terenak buat outdoor
",Positif,Positif,29/01/2024
,bang_tarjo05,https://www.tiktok.com/@bang_tarjo05,"saya udah punya, baru abis setengah botol idung saya malah jadi kebal sama bau parfum nya ",Negatif,Negatif,29/01/2024
,cheppychepudin,https://www.tiktok.com/@cheppychepudin,saya beli di sini kemaren pas sampe botol nya pecah dan tutup nya lepas,Negatif,Negatif,29/01/2024
,ago_ez,https://www.tiktok.com/@ago_ez,"kasta tertinggi tetap favorit aku,dominant",Positif,Positif,29/01/2024
,butiran1234debu,https://www.tiktok.com/@butiran1234debu,tahan lama gak ka. itu yang penting,Netral,Netral,29/01/2024
,user8117537505425,https://www.tiktok.com/@user8117537505425,Dominant juga bagus kalau kena keringat aroma nya keluar bisa di coba,Positif,Positif,29/01/2024
,baruknetas.05,https://www.tiktok.com/@baruknetas.05,mr crush black memang wangi banget sih,Positif,Positif,29/01/2024
,juni232003,https://www.tiktok.com/@juni232003,"emang terbaik mr crus black, sedang menunggu yang seratus mili",Positif,Positif,29/01/2024
,tukang_film_online,https://www.tiktok.com/@tukang_film_online,parfum terbaik dari yang terbaik DOMINANT,Positif,Positif,29/01/2024
,banyakoran,https://www.tiktok.com/@banyakoran,kalau indoor parfum terbaik yang mana ka,Netral,Netral,29/01/2024
,meditomket,https://www.tiktok.com/@meditomket,ka mau nanya yang original cuma di sini?,Netral,Netral,29/01/2024
,putri.regina96,https://www.tiktok.com/@putri.regina96,"rekomendasi dong kak,buat yang cewek yang mana?",Netral,Netral,29/01/2024
,syahrul.309,https://www.tiktok.com/@syahrul.309,mantap tahan lama wangi nya,Positif,Positif,29/01/2024
,jhonjhony809,https://www.tiktok.com/@jhonjhony809,"sudah beli, wangi nya kurang suka",Negatif,Negatif,29/01/2024
,abillemot0,https://www.tiktok.com/@abillemot0,saya pesan kemarin di campur dengan air,Negatif,Negatif,29/01/2024
,dozansyafputra,https://www.tiktok.com/@dozansyafputra,kebanyakan barang  palsu,Negatif,Negatif,29/01/2024
,asepboy20_,https://www.tiktok.com/@asepboy20_,kak yang seratus mili dong udah abis nih parfum kesukaan aku,Positif,Positif,28/01/2024
,cristiano.7.fans,https://www.tiktok.com/@cristiano.7.fans,yang asli ciri nya apa ka,Netral,Netral,28/01/2024
,henky_chan,https://www.tiktok.com/@henky_chan,Sekarang banyak banget yang jualan palsu. Tiga puluh ribu dapat tiga botol. Lima puluh ribut dapat lima botol.,Negatif,Negatif,28/01/2024
,sabarmin,https://www.tiktok.com/@sabarmin,wangi cuma pas di semprotin doang..gak bertahan setengah jam..kecewa,Negatif,Negatif,28/01/2024
,chank0405,https://www.tiktok.com/@chank0405,berapa harga nya mau beli nih ka,Netral,Netral,28/01/2024
,syalgiansyah1,https://www.tiktok.com/@syalgiansyah1,kak aku beli parfum di Shopee malah palsu parfum dominant nya,Negatif,Negatif,28/01/2024
,ikis570,https://www.tiktok.com/@ikis570,"hati hati saya cod barang pecah rusak tumpah bukti vidio foto,komplain kembali dana tidak ada jawaban, dua ratus lima puluh ribut uang saya hilang beli parfum ini.",Negatif,Negatif,28/01/2024
,pawascules,https://www.tiktok.com/@pawascules,mantap parfumnya gara gara ini gw di deketin cewe,Positif,Positif,27/01/2024
,pas100072,https://www.tiktok.com/@pas100072,pesanan dua mingguan lebih parah ga dapet foto card ,Negatif,Negatif,27/01/2024
,madusultan_,https://www.tiktok.com/@madusultan_,keren pengemasan nya,Positif,Positif,27/01/2024
,danny_haris_official,https://www.tiktok.com/@danny_haris_official,Saran nih ya kak. buat beli itu kasih sampel wangi yang lain kak. gak usah banyak banyak. Dua Mili aja. pasti beli varian lain juga itu,Positif,Positif,27/01/2024
,indranduy,https://www.tiktok.com/@indranduy,"dominant bikin cewek aku nyaman terus,tiap ketemuan cewek aku selalu bilang ihhh...parfum nya wangi banget",Positif,Positif,27/01/2024
,backkhoiry,https://www.tiktok.com/@backkhoiry,saya makai parfum scentplus udah setahun ga pernah ada keluhan memang terbaik produk satu ini,Positif,Positif,27/01/2024
,myheaven8183,https://www.tiktok.com/@myheaven8183,mau nanya ka itu kaos dominat di jual ga ka,Netral,Netral,27/01/2024
,rogerpas86,https://www.tiktok.com/@rogerpas86,kalo aku udah pakai dominant ini auto di bilang temen kerja cewek pakai parfum apa wangi banget,Positif,Positif,27/01/2024
,incuumi11,https://www.tiktok.com/@incuumi11,gak wangi ah saya punya dua malah selewat wangi nya,Negatif,Negatif,27/01/2024
,creative_education_,https://www.tiktok.com/@creative_education_,Keren. udah nyari nyari di media sosial bahkan sampai muter muter toko demi dan nyobain banyak banget parfum yang pas dan bisa di pakai outdoor indoor. ini video menolong banget,Positif,Positif,26/01/2024
,muhamadsofyan44,https://www.tiktok.com/@muhamadsofyan44,asli wangi nya enak sama awet ,Positif,Positif,26/01/2024
,ayamkremes716,https://www.tiktok.com/@ayamkremes716,ada alkohol nya gak sih,Netral,Netral,26/01/2024
,arirante,https://www.tiktok.com/@arirante,parfum apaan ini kena baju putih kuning,Negatif,Netral,26/01/2024
,m_aldo_susanto,https://www.tiktok.com/@m_aldo_susanto,saya beli seratus tuju puluh lima ribu mr crush premium wangi nya enak banget,Positif,Positif,25/01/2024
,dehan_03,https://www.tiktok.com/@dehan_03,parfum buat di outdor yang mana yang cocok kak,Netral,Netral,25/01/2024
,hoerul.um,https://www.tiktok.com/@hoerul.um,"asli pertama kali pakai parfum ini,dan hasil nya suka banget",Positif,Positif,25/01/2024
,wellyramdani,https://www.tiktok.com/@wellyramdani,"mantap banget emang wangi nya,,,tahan lama",Positif,Positif,25/01/2024
,sihombing9370,https://www.tiktok.com/@sihombing9370,ka ada promo lagi kapan ka,Netral,Netral,25/01/2024
,aby_by11,https://www.tiktok.com/@aby_by11,pembeli palsu semua,Negatif,Negatif,25/01/2024
,rigelion28,https://www.tiktok.com/@rigelion28,"parfum jelek tutup botol gampang pecah, pembelian ga dapat box pokok nya parah dah",Negatif,Negatif,24/01/2024
,introvertboys89,https://www.tiktok.com/@introvertboys89,"kapan ada stok semua kak, rata rata udah kosong",Negatif,Negatif,24/01/2024
,jag_qween,https://www.tiktok.com/@jag_qween,kenapa masih kosong stok mawar hitam nya,Negatif,Negatif,24/01/2024
,dimas_harry,https://www.tiktok.com/@dimas_harry,pengen nyoba kayak nya enak ,Positif,Positif,24/01/2024
,rampage_73,https://www.tiktok.com/@rampage_73,udah beli tapi masih dalam proses. udah gak sabar wkwkwkk,Positif,Positif,24/01/2024
,mrpaquto,https://www.tiktok.com/@mrpaquto,side effect dan dominant dua parfum terneak scentplus,Positif,Positif,24/01/2024
,moyyigemoy,https://www.tiktok.com/@moyyigemoy,"Sumpah aku jatuh cinta banget sama aroma dominant ini, udah dua kali pesan sih dan seperti nya ini bakalan jadi parfum aku seterus nya sih",Positif,Positif,24/01/2024
,rizky_nufa,https://www.tiktok.com/@rizky_nufa,sumpah kemaren sempet coba pertama kali itu enak banget aroma nya gak terlalu strong dan itu tahan lama banget sampai tiga harian jadi selanjut nya bakal beli lagi,Positif,Positif,24/01/2024
,gissasyaputra2,https://www.tiktok.com/@gissasyaputra2,mantap sekali suka banget wangi nya sumpah,Positif,Positif,24/01/2024
,user5957386993834,https://www.tiktok.com/@user5957386993834,jatuh cinta banget sama mr crush ,Positif,Positif,24/01/2024
,awann23446,https://www.tiktok.com/@awann23446,dominant jadi parfum andalan,Positif,Positif,24/01/2024
,anak_sulungniboss,https://www.tiktok.com/@anak_sulungniboss,"aku udah beli,wangi nya enak kayak bedak bayi ",Positif,Positif,24/01/2024
,gissasyaputra2,https://www.tiktok.com/@gissasyaputra2,dominant nya ka selalu bikin ngiler . bagi aku dominant nomor satu .wangi nya bikin ketagihan,Positif,Positif,24/01/2024
,goobli87,https://www.tiktok.com/@goobli87,Mantap kombo sempurna,Positif,Positif,24/01/2024
,heirilarthy,https://www.tiktok.com/@heirilarthy,buat anak sekolah dominant cocok ga ka?,Netral,Netral,24/01/2024
,goobli87,https://www.tiktok.com/@goobli87,rekomendasi banget,Positif,Positif,23/01/2024
,abuubarca1,https://www.tiktok.com/@abuubarca1,buat smp cocok yang mana ka?,Netral,Netral,23/01/2024
,ibra.cadabra10,https://www.tiktok.com/@ibra.cadabra10,"nama doang keren,isi nya parfum bibit",Negatif,Negatif,23/01/2024
,sencaky22,https://www.tiktok.com/@sencaky22,bahan botol nya di ganti dong ka biar gak berat,Negatif,Negatif,23/01/2024
,dianhermawan998,https://www.tiktok.com/@dianhermawan998,kurang suka sih wangi nya padahal udah penasaran pas datang,Negatif,Negatif,23/01/2024
,its_me_nay09,https://www.tiktok.com/@its_me_nay09,pengiriman nya jelek banget kardus nya pada rusak,Negatif,Negatif,23/01/2024
,ipong2221,https://www.tiktok.com/@ipong2221,parfum scentplus asli semua apa gimana ka,Netral,Netral,23/01/2024
,user7590668461926solihin,https://www.tiktok.com/@user7590668461926solihin,mantap aroma nya kak,Positif,Positif,23/01/2024
,ramlantaufik82,https://www.tiktok.com/@ramlantaufik82,"udah beli dan udh pake,wangi nya lembut banget",Positif,Positif,23/01/2024
,endypurwanto97,https://www.tiktok.com/@endypurwanto97,bau nya kayak bedak bayi malah jadi malu,Negatif,Negatif,23/01/2024
,yaye8158,https://www.tiktok.com/@yaye8158,Parfum scentplus meninggalkan noda yang sulit dihilangkan pada pakaian,Negatif,Negatif,22/01/2024
,dek.candra0,https://www.tiktok.com/@dek.candra0,kak staycation wangi nya emang gak terlalu beraroma ya?,Negatif,Negatif,22/01/2024
,wandi_sdk,https://www.tiktok.com/@wandi_sdk,"kak itu gimana, saya sudah pesan dari official nya kok punya saya gak ada plastik nya,parah banget sih pengemasan nya 
",Negatif,Negatif,22/01/2024
,menungso_lugowo,https://www.tiktok.com/@menungso_lugowo,yang dominant itu parfum nya cocok banget buat hari raya,Positif,Positif,22/01/2024
,dap_boys,https://www.tiktok.com/@dap_boys,"mr crush black enak banget wangi nya cocok buat olahraga
",Positif,Positif,22/01/2024
,muhammadfarisiheu,https://www.tiktok.com/@muhammadfarisiheu,apakah ada alkohol nya kak,Netral,Netral,22/01/2024
,aribungsu750,https://www.tiktok.com/@aribungsu750,"saya sudah beli mr crush black,HRNY side effect,HRNY,ONS,pro player,enak semua wangi nya ",Positif,Positif,22/01/2024
,sando162,https://www.tiktok.com/@sando162,"orang yang sering ketipu itu gara gara udah viral langsung di beli tanpa lihat pengiriman , dan karena mentang udah viral langsung di beli biasa nya,",Negatif,Negatif,22/01/2024
,kusonokyy,https://www.tiktok.com/@kusonokyy,"cirebon nya dimana sih, deket nih",Netral,Netral,22/01/2024
,sikatweel,https://www.tiktok.com/@sikatweel,kak kenapa gak laporin penyalahgunaan hak cipta?,Netral,Netral,22/01/2024
,wandi_sdk,https://www.tiktok.com/@wandi_sdk,"kak kok aku beli, plastik nya sudah tidak ada",Negatif,Negatif,22/01/2024
,ni.luh.kadek,https://www.tiktok.com/@ni.luh.kadek,"aku beli di toko lain DUTA ROKOK di kirim dari sumber cirebon,wangi nya aku suka banget",Positif,Positif,22/01/2024
,tokoherbalgesty,https://www.tiktok.com/@tokoherbalgesty,mau dominant parfum viral terenak di tik tok,Positif,Positif,22/01/2024
,bumidanbulan2024js,https://www.tiktok.com/@bumidanbulan2024js,tutup botol nya gampang copot,Negatif,Negatif,22/01/2024
,kil.pride01,https://www.tiktok.com/@kil.pride01,kok bisa sih jualan parfum yang kurang enak kaya gini,Negatif,Negatif,22/01/2024
,lerryadam431,https://www.tiktok.com/@lerryadam431,dominant cocok buat kantoran ga ka,Netral,Netral,22/01/2024
,b3.latolato,https://www.tiktok.com/@b3.latolato,memang enak wangi nya,Positif,Positif,22/01/2024
,fbryand_,https://www.tiktok.com/@fbryand_,"Awet banget saya beli lima puluh mili aja dua bulan masih ada,kalau seratus mili satu tahun kaya nya
",Positif,Positif,22/01/2024
